REF_AREA,Reference_area,Frequency of observation,Measure,Unit_of_measure,INSURANCE_TYPE,Insurance_types,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,16.1,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,16.4,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,17.1,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,17.8,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,18.3,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,20.2,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,21,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,21,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,21.9,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,22.4,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,22.8,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,23.1,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,23.2,A,Normal value,0,Units
FIN,Finland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,23.2,E,Estimated value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,83.4,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,83.6,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,84.5,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,84,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,85.8,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,87.4,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,87.3,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,91.6,B,Time series break,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,93.7,B,Time series break,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,95.8,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,95,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,95.5,A,Normal value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,96.1,E,Estimated value,0,Units
FRA,France,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,96.4,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,8.5,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,8.5,B,Time series break,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,8.7,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,8.8,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,9,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,9.2,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,9.5,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,9.7,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,9.9,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,10.1,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,24.7,B,Time series break,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,26.5,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,28.3,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,29.8,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,20,A,Normal value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,20.6,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,21.4,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,21.8,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,22.4,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,22.9,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,23.1,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,23.2,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,23.7,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,24.2,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,24.9,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,25.8,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,26.7,E,Estimated value,0,Units
DEU,Germany,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,27.3,E,Estimated value,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,12.8,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,12.4,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,12.5,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,12.5,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,11.5,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,12,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,11.9,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,12.2,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,13.6,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,15.3,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,16,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,17.2,D,Definition differs,0,Units
GRC,Greece,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,19,D,Definition differs,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,0,E,Estimated value,0,Units
HUN,Hungary,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,0,E,Estimated value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,0.5,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,0.3,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,0.4,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,0.1,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,0.2,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,0.3,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,0.4,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,0.5,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,0.4,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,0.4,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,0.4,A,Normal value,0,Units
ISL,Iceland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,0.4,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1995,37.9,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1996,38.4,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,39.2,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,40.5,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,41.9,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,43.8,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,48.6,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,49.6,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,50.2,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,50.8,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,51.2,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,51.3,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,51.7,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,52,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,50.7,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,49.8,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,47.3,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,45.7,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,44.4,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,43.6,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,45.3,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,45.4,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,45.4,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,45.7,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,46.3,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,46.2,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,47,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,47.6,A,Normal value,0,Units
IRL,Ireland,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,46.8,P,Provisional value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1997,41.7,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1998,44.6,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,1999,54.3,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,64.6,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2001,70.6,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2002,72.2,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2003,74.6,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2004,75.6,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2005,77.2,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2006,79,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2007,78.9,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,79.7,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,80.7,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,80.6,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,80,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,80.3,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,82.9,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,83.9,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,83.4,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,83.1,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,83.2,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,84.1,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,83.9,B,Time series break,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,84.3,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,86.2,A,Normal value,0,Units
ISR,Israel,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,88,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,48,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,51.1,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,56.5,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,61,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,63.2,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,66.8,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,67.8,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,67.7,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,70,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,70.8,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,72.2,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,72.2,A,Normal value,0,Units
KOR,Korea,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,72.6,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2008,17.2,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2009,14,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2010,8.9,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2011,9.1,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2012,8.1,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2013,12.7,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2014,13.9,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,14.2,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,14.6,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,16,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,18.2,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,18.9,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,20.3,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,22,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,23.8,A,Normal value,0,Units
LVA,Latvia,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2023,24.6,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2015,1.5,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2016,1.5,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2017,1.3,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2018,1.8,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2019,2.7,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2020,3.7,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2021,4.8,A,Normal value,0,Units
LTU,Lithuania,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2022,1.4,A,Normal value,0,Units
MEX,Mexico,Annual,Health insurance coverage,Percentage of population,PHINTPHI,Total voluntary health insurance,2000,2.8,A,Normal value,0,Units
